id,entity_id,value,unit
398,398,0.026429,"kg CO2e/RM, purchaser price"
399,399,0.026429,"kg CO2e/RM, purchaser price"
400,400,0.026429,"kg CO2e/RM, purchaser price"
401,401,0.022381,"kg CO2e/RM, purchaser price"
402,402,0.022381,"kg CO2e/RM, purchaser price"
403,403,0.153333,"kg CO2e/RM, purchaser price"
404,404,0.153333,"kg CO2e/RM, purchaser price"
405,405,0.110952,"kg CO2e/RM, purchaser price"
406,406,0.110952,"kg CO2e/RM, purchaser price"
407,407,0.194286,"kg CO2e/RM, purchaser price"
408,408,0.194286,"kg CO2e/RM, purchaser price"
409,409,0.141667,"kg CO2e/RM, purchaser price"
410,410,0.141667,"kg CO2e/RM, purchaser price"
411,411,0.141667,"kg CO2e/RM, purchaser price"
412,412,0.141667,"kg CO2e/RM, purchaser price"
413,413,0.141667,"kg CO2e/RM, purchaser price"
