stop_id,stop_code,stop_name,stop_lat,stop_lon
12000707,PJ74,PERUMAHAN JLN NURI,3.16739200,101.57714000
12000708,PJ78,PANGSAPURI KASIA,3.17015900,101.57534570
12000709,PJ801,KASTURI IDAMAN,3.17674700,101.57732200
12000710,PJ69,PANGSAPURI IXORA,3.17390000,101.57550400
12000712,SA998,PERUMAHAN 1A/6,3.21183300,101.56735600
12000714,PJ612,KWASA LAND (RRI) (BARAT),3.15531700,101.55935100
12000716,SA1002,PERUMAHAN 1C/4,3.21856100,101.56435300
12000718,SA1005,PASAR DAN BAZAR BBSB,3.21007800,101.56673100
12000719,SA743,SUBANG 2 (UTARA),3.15663900,101.54478000
12000720,SA744,KOMERSIAL APOLLO U5/189 (TIMUR),3.15729400,101.54663900
12000721,SA959,KOMERSIAL APOLLO U5/192 (UTARA),3.15960600,101.54790600
12000722,SA745,KOMERSIAL BULAN  U5/J (UTARA),3.16188600,101.54792800
12000723,SA736,KOMERSIAL BULAN U5/164 (UTARA),3.16302400,101.54932900
12000724,SA725,SUBANG IDAMAN (SELATAN),3.16546900,101.54889100
12000725,SA726,PANGSAPURI MENTARI,3.16662800,101.54131400
12000726,SA727,PANGSAPURI OPAL,3.16751700,101.54236400
12000727,SA728,SURAU AL RAUDHAH. TMN NUSA SUBANG,3.16751700,101.54620400
12000728,SA729,SUBANG IDAMAN (UTARA),3.16754090,101.54894870
12000729,SA1023,PERUMAHAN SUBANG BESTARI,3.16970500,101.55067300
12000730,SA677,PANGSAPURI SRI GALAXY (UTARA),3.17166650,101.55010970
12000736,SA638,BANDAR BARU SUNGAI BULOH,3.20880500,101.56586200
12000737,SA746,PANGSAPURI SRI GALAXY (SELATAN),3.17177500,101.55022600
12000740,SA958,KOMERSIAL APOLLO U5/192 (SELATAN),3.15954400,101.54808100
12000741,SA741,PDG APOLLO U5/189,3.15716670,101.54696760
12000742,KL1459,PERUMAHAN ZAABA,3.14380544,101.62229580
12000743,SA742,SUBANG 2 (SELATAN),3.15684800,101.54500900
12000744,SA1027,PUSAT KOMERSIAL STAR AVENUE,3.15397300,101.55207200
12000745,KL1450,MASJID AT-TAQWA,3.14539700,101.62917800
12000746,PJ613,KWASA LAND (RRI) (TIMUR),3.15688600,101.56143800
12000747,PJ792,KOMERSIAL SEK 6 (TIMUR),3.16103900,101.58152500
12000748,PJ793,SURAU AL-FALAH SEK 6,3.15764000,101.57704200
12000749,PJ104,PANGSAPURI CEMPAKA SEK 6,3.15671400,101.57431200
12000750,PJ823,MRT PHILEO DAMANSARA PINTU A,3.12841900,101.64274700
12000751,PJ709,DAMANSARA INTAN,3.13076700,101.62863100
12000752,PJ710,BOMBA SS2,3.12615800,101.62320000
12000753,SA650,PERUMAHAN SUBANG PERDANA (UTARA),3.15559600,101.53841700
12000756,SA672,KOMERSIAL SUBANG PERDANA (BARAT),3.14977700,101.54359620
12000757,PJ348,JEJANTAS SS2/24 (UTARA),3.11802500,101.62525000
12000759,PJ210,HOTEL LISA DE INN,3.11823100,101.63065000
12000760,PJ233,SHELL 17/22,3.12470300,101.63673600
12000761,PJ217,PADANG SRK SRI DAMAI,3.12118100,101.63383300
12000762,PJ349,KOMERSIAL SS19/8,3.11889830,101.62869400
12000765,PJ240,TIARA DAMANSARA (UTARA),3.12754200,101.63901500
12000766,PJ241,TIARA DAMANSARA (SELATAN),3.12497200,101.63845300
12000767,PJ236,UIA PJ (BARAT),3.12078300,101.63843100
12000768,PJ543,CENTRE POINT BANDAR UTAMA,3.13765300,101.60933900
12000769,PJ237,UIA PJ (SELATAN),3.11880300,101.63911100
12000770,PJ780,MASJID KAYU ARA,3.13544200,101.61241900
12000771,PJ245,SMK SULTAN ABD SAMAD (TIMUR),3.11862900,101.64512000
12000772,PJ247,MAHSA UNIVERSITY (TIMUR),3.11702200,101.64978260
12000773,KL1105,FAKULTI PERNIAGAAN DAN PERAKAUNAN,3.11839500,101.65426700
12000775,KL1108,PUSAT ASASI SAINS (DARI STN),3.12181800,101.65826470
12000776,KL2137,FAKULTI UNDANG-UNDANG,3.11861500,101.66102440
12000777,KL1103,KOLEJ KEDIAMAN PERTAMA,3.11812400,101.65932260
12000778,KL1104,FAKULTI KEJURUTERAAN (UTARA),3.11909700,101.65553720
12000779,PJ260,MAHSA UNIVERSITY (BARAT),3.11796200,101.64804900
